"UNC Product Type / Item Receiving Statistics",,,3/22/10,,,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,,,,,
"UNC Product Type Total",810687,,,,,,,,,,,
,,,,,,,,,,,,
"Report Total",28407905,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Order No. ","Document No. ","Item No.","Description","Source No.","Donor","UNC Product Source Code","Posting Date","Lot No.","Expiration Date","Quantity","Unit of Measure","Gross Weight"
"DG09-00998","DG09-00998-1","SHBR2009","BAKED - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",9/30/09,77937,12/31/99,675,"LB",675
"DG09-00997","DG09-00997-1","SHFP2009","FROZEN - WEIGH",2902,"Food Lion # 2571","A2H LOCAL",9/30/09,77935,12/31/99,690,"LB",690
"DR09-03909","DR09-03909-1","SHBR2009","BAKED - WEIGH",2855,"Food Lion # 1394","A2H LOCAL",9/30/09,78058,12/31/99,693,"LB",693
"DR09-03921","DR09-03921-1","SHFP2009","FROZEN - WEIGH",2894,"Food Lion # 2530","A2H LOCAL",9/30/09,78094,12/31/99,693,"LB",693
"DG09-00999","DG09-00999-1","SHBR2009","BAKED - WEIGH",2811,"Food Lion # 779","A2H LOCAL",9/30/09,77940,12/31/99,700,"LB",700
"DR09-03908","DR09-03908-1","SHBR2009","BAKED - WEIGH",2853,"Food Lion # 1390","A2H LOCAL",9/30/09,78055,12/31/99,708,"LB",708
"DG09-01003","DG09-01003-1","SHPR2009","PRODUCE - WEIGH",2763,"Food Lion # 146","A2H LOCAL",9/30/09,77951,12/31/99,759,"LB",759
"DG09-00979","DG09-00979-1","SHPR2009","PRODUCE - WEIGH",2790,"Food Lion # 486","A2H LOCAL",9/30/09,77886,12/31/99,759,"LB",759
"DR09-03885","DR09-03885-1","SHBR2009","BAKED - WEIGH",2375,"Food Lion Store #1421","A2H LOCAL",9/30/09,77986,12/31/99,769,"LB",769
"DR09-03902","DR09-03902-1","SHBR2009","BAKED - WEIGH",2830,"Food Lion # 1086","A2H LOCAL",9/30/09,78037,12/31/99,770,"LB",770
"DW09-00582","DW09-00582-1","SHFP2009","FROZEN - WEIGH",2826,"Food Lion # 1041","A2H LOCAL",9/30/09,77552,12/31/99,798,"LB",798
"DR09-03923","DR09-03923-1","SHBR2009","BAKED - WEIGH",2896,"Food Lion # 2545","A2H LOCAL",9/30/09,78099,12/31/99,820,"LB",820
"DG09-00983","DG09-00983-1","SHBR2009","BAKED - WEIGH",1333,"Food Lion 284","A2H LOCAL",9/30/09,77896,12/31/99,823,"LB",823
"DR09-03885","DR09-03885-1","SHPR2009","PRODUCE - WEIGH",2375,"Food Lion Store #1421","A2H LOCAL",9/30/09,77988,12/31/99,824,"LB",824
"DR09-03895","DR09-03895-1","SHFP2009","FROZEN - WEIGH",2789,"Food Lion # 479","A2H LOCAL",9/30/09,78018,12/31/99,828,"LB",828
"DW09-00603","DW09-00603-1","SHFP2009","FROZEN - WEIGH",2925,"Food Lion Store #351","A2H LOCAL",9/30/09,77624,12/31/99,839,"LB",839
"DR09-03904","DR09-03904-1","SHRF2009","REFRIGERATED/DELI - WEIGH",2845,"Food Lion # 1338","A2H LOCAL",9/30/09,78046,12/31/99,839,"LB",839
"DR09-03929","DR09-03929-1","SHPR2009","PRODUCE - WEIGH",3003,"Food Lion Store #2520","A2H LOCAL",9/30/09,78116,12/31/99,840,"LB",840
"DR09-03922","DR09-03922-1","SHFP2009","FROZEN - WEIGH",2895,"Food Lion # 2536","A2H LOCAL",9/30/09,78097,12/31/99,845,"LB",845
"DG09-00982","DG09-00982-1","SHFP2009","FROZEN - WEIGH",2758,"Food Lion # 102","A2H LOCAL",9/30/09,77895,12/31/99,847,"LB",847
"DW09-00590","DW09-00590-1","SHBR2009","BAKED - WEIGH",2857,"Food Lion # 1404","A2H LOCAL",9/30/09,77579,12/31/99,850,"LB",850
"DR09-03895","DR09-03895-1","SHPR2009","PRODUCE - WEIGH",2789,"Food Lion # 479","A2H LOCAL",9/30/09,78019,12/31/99,855,"LB",855
"DW09-00602","DW09-00602-1","SHFP2009","FROZEN - WEIGH",2924,"Food Lion Store #281","A2H LOCAL",9/30/09,77620,12/31/99,870,"LB",870
"DR09-03908","DR09-03908-1","SHPR2009","PRODUCE - WEIGH",2853,"Food Lion # 1390","A2H LOCAL",9/30/09,78057,12/31/99,870,"LB",870
"DR09-03905","DR09-03905-1","SHBR2009","BAKED - WEIGH",2846,"Food Lion # 1344","A2H LOCAL",9/30/09,78047,12/31/99,871,"LB",871
"DR09-03884","DR09-03884-1","SHBR2009","BAKED - WEIGH",2359,"Food Lion Store #2686","A2H LOCAL",9/30/09,77983,12/31/99,891,"LB",891
"DR09-03905","DR09-03905-1","SHPR2009","PRODUCE - WEIGH",2846,"Food Lion # 1344","A2H LOCAL",9/30/09,78049,12/31/99,899,"LB",899
"DR09-03919","DR09-03919-1","SHFP2009","FROZEN - WEIGH",2888,"Food Lion # 2109","A2H LOCAL",9/30/09,78086,12/31/99,911,"LB",911
"DS09-01509","DS09-01509-1","SHPR2009","PRODUCE - WEIGH",2794,"Food Lion # 528","A2H LOCAL",9/30/09,78308,12/31/99,912,"LB",912
"DG09-01001","DG09-01001-1","SHBR2009","BAKED - WEIGH",2824,"Food Lion # 981","A2H LOCAL",9/30/09,77945,12/31/99,915,"LB",915
"DR09-03894","DR09-03894-1","SHBR2009","BAKED - WEIGH",2787,"Food Lion # 429","A2H LOCAL",9/30/09,78014,12/31/99,922,"LB",922
"DR09-03897","DR09-03897-1","SHBR2009","BAKED - WEIGH",2796,"Food Lion # 535","A2H LOCAL",9/30/09,78024,12/31/99,925,"LB",925
"DG09-01004","DG09-01004-1","SHFP2009","FROZEN - WEIGH",2824,"Food Lion # 981","A2H LOCAL",9/30/09,77954,12/31/99,930,"LB",930
"DG09-00997","DG09-00997-1","SHPR2009","PRODUCE - WEIGH",2902,"Food Lion # 2571","A2H LOCAL",9/30/09,77936,12/31/99,930,"LB",930
"DW09-00592","DW09-00592-1","SHFP2009","FROZEN - WEIGH",2872,"Food Lion # 1593","A2H LOCAL",9/30/09,77588,12/31/99,950,"LB",950
"DW09-00583","DW09-00583-1","SHFP2009","FROZEN - WEIGH",2858,"Food Lion # 1406","A2H LOCAL",9/30/09,77556,12/31/99,960,"LB",960
"DR09-03910","DR09-03910-1","SHFP2009","FROZEN - WEIGH",2859,"Food Lion # 1461","A2H LOCAL",9/30/09,78062,12/31/99,960,"LB",960
"DW09-00594","DW09-00594-1","SHBR2009","BAKED - WEIGH",2874,"Food Lion # 1607","A2H LOCAL",9/30/09,77593,12/31/99,964,"LB",964
"DR09-03892","DR09-03892-1","SHRF2009","REFRIGERATED/DELI - WEIGH",2775,"Food Lion # 261","A2H LOCAL",9/30/09,78010,12/31/99,971,"LB",971
"DR09-03887","DR09-03887-1","SHFP2009","FROZEN - WEIGH",2756,"Food Lion # 78","A2H LOCAL",9/30/09,77992,12/31/99,982,"LB",982
"DR09-03919","DR09-03919-1","SHBR2009","BAKED - WEIGH",2888,"Food Lion # 2109","A2H LOCAL",9/30/09,78085,12/31/99,993,"LB",993
"DW09-00598","DW09-00598-1","SHFP2009","FROZEN - WEIGH",2890,"Food Lion # 2116","A2H LOCAL",9/30/09,77606,12/31/99,996,"LB",996
"DR09-03914","DR09-03914-1","SHFP2009","FROZEN - WEIGH",2876,"Food Lion # 1619","A2H LOCAL",9/30/09,78068,12/31/99,1030,"LB",1030
"DG09-00994","DG09-00994-1","SHBR2009","BAKED - WEIGH",1377,"Food Lion 683","A2H LOCAL",9/30/09,77926,12/31/99,1037,"LB",1037
"DG09-00981","DG09-00981-1","SHFP2009","FROZEN - WEIGH",2863,"Food Lion # 1492","A2H LOCAL",9/30/09,77891,12/31/99,1038,"LB",1038
"DR09-03898","DR09-03898-1","SHBR2009","BAKED - WEIGH",2797,"Food Lion # 536","A2H LOCAL",9/30/09,78026,12/31/99,1045,"LB",1045
"DR09-03923","DR09-03923-1","SHFP2009","FROZEN - WEIGH",2896,"Food Lion # 2545","A2H LOCAL",9/30/09,78100,12/31/99,1045,"LB",1045
"DR09-03918","DR09-03918-1","SHBR2009","BAKED - WEIGH",2886,"Food Lion # 2101","A2H LOCAL",9/30/09,78082,12/31/99,1065,"LB",1065
"DR09-03889","DR09-03889-1","SHBR2009","BAKED - WEIGH",2764,"Food Lion # 149","A2H LOCAL",9/30/09,77997,12/31/99,1075,"LB",1075
"DG09-00979","DG09-00979-1","SHBR2009","BAKED - WEIGH",2790,"Food Lion # 486","A2H LOCAL",9/30/09,77884,12/31/99,1088,"LB",1088
"DR09-03930","DR09-03930-1","SHPR2009","PRODUCE - WEIGH",3004,"Food Lion Store #2538","A2H LOCAL",9/30/09,78119,12/31/99,1090,"LB",1090
"DW09-00589","DW09-00589-1","SHFP2009","FROZEN - WEIGH",2854,"Food Lion # 1392","A2H LOCAL",9/30/09,77577,12/31/99,1103,"LB",1103
"DR09-03925","DR09-03925-1","SHFP2009","FROZEN - WEIGH",2905,"Food Lion # 2581","A2H LOCAL",9/30/09,78104,12/31/99,1108,"LB",1108
"DR09-03911","DR09-03911-1","SHBR2009","BAKED - WEIGH",2866,"Food Lion # 1501","A2H LOCAL",9/30/09,78063,12/31/99,1125,"LB",1125
"DR09-03889","DR09-03889-1","SHPR2009","PRODUCE - WEIGH",2764,"Food Lion # 149","A2H LOCAL",9/30/09,77999,12/31/99,1128,"LB",1128
"DR09-03915","DR09-03915-1","SHFP2009","FROZEN - WEIGH",2877,"Food Lion # 1654","A2H LOCAL",9/30/09,78072,12/31/99,1131,"LB",1131
"DW09-00588","DW09-00588-1","SHBR2009","BAKED - WEIGH",2852,"Food Lion # 1388","A2H LOCAL",9/30/09,77572,12/31/99,1135,"LB",1135
"DS09-01516","DS09-01516-1","SHBR2009","BAKED - WEIGH",2916,"Food Lion  127","A2H LOCAL",9/30/09,78324,12/31/99,1142,"LB",1142
"DS09-01516","DS09-01516-1","SHPR2009","PRODUCE - WEIGH",2916,"Food Lion  127","A2H LOCAL",9/30/09,78326,12/31/99,1145,"LB",1145
"DS09-01509","DS09-01509-1","SHBR2009","BAKED - WEIGH",2794,"Food Lion # 528","A2H LOCAL",9/30/09,78307,12/31/99,1149,"LB",1149
"DR09-03884","DR09-03884-1","SHPR2009","PRODUCE - WEIGH",2359,"Food Lion Store #2686","A2H LOCAL",9/30/09,77985,12/31/99,1159,"LB",1159
"DR09-03904","DR09-03904-1","SHFP2009","FROZEN - WEIGH",2845,"Food Lion # 1338","A2H LOCAL",9/30/09,78044,12/31/99,1167,"LB",1167
"DR09-03891","DR09-03891-1","SHPR2009","PRODUCE - WEIGH",2773,"Food Lion # 237","A2H LOCAL",9/30/09,78005,12/31/99,1167,"LB",1167
"DW09-00594","DW09-00594-1","SHFP2009","FROZEN - WEIGH",2874,"Food Lion # 1607","A2H LOCAL",9/30/09,77594,12/31/99,1183,"LB",1183
"DR09-03878","DR09-03878-1","SHBR2009","BAKED - WEIGH",1313,"Food Lion 1669","A2H LOCAL",9/30/09,77976,12/31/99,1184,"LB",1184
"DR09-03891","DR09-03891-1","SHBR2009","BAKED - WEIGH",2773,"Food Lion # 237","A2H LOCAL",9/30/09,78003,12/31/99,1185,"LB",1185
"DR09-03899","DR09-03899-1","SHPR2009","PRODUCE - WEIGH",2817,"Food Lion  # 857","A2H LOCAL",9/30/09,78030,12/31/99,1192,"LB",1192
"DG09-00980","DG09-00980-1","SHPR2009","PRODUCE - WEIGH",2850,"Food Lion # 1373","A2H LOCAL",9/30/09,77889,12/31/99,1192,"LB",1192
"DG09-01003","DG09-01003-1","SHFP2009","FROZEN - WEIGH",2763,"Food Lion # 146","A2H LOCAL",9/30/09,77950,12/31/99,1200,"LB",1200
"DW09-00585","DW09-00585-1","SHPR2009","PRODUCE - WEIGH",2832,"Food Lion # 1193","A2H LOCAL",9/30/09,77563,12/31/99,1200,"LB",1200
"DG09-00981","DG09-00981-1","SHPR2009","PRODUCE - WEIGH",2863,"Food Lion # 1492","A2H LOCAL",9/30/09,77892,12/31/99,1200,"LB",1200
"DG09-00980","DG09-00980-1","SHBR2009","BAKED - WEIGH",2850,"Food Lion # 1373","A2H LOCAL",9/30/09,77887,12/31/99,1202,"LB",1202
"DR09-03930","DR09-03930-1","SHBR2009","BAKED - WEIGH",3004,"Food Lion Store #2538","A2H LOCAL",9/30/09,78117,12/31/99,1206,"LB",1206
"DR09-03921","DR09-03921-1","SHBR2009","BAKED - WEIGH",2894,"Food Lion # 2530","A2H LOCAL",9/30/09,78093,12/31/99,1212,"LB",1212
"DS09-01516","DS09-01516-1","SHFP2009","FROZEN - WEIGH",2916,"Food Lion  127","A2H LOCAL",9/30/09,78325,12/31/99,1214,"LB",1214
"DR09-03888","DR09-03888-1","SHBR2009","BAKED - WEIGH",2757,"Food Lion # 99","A2H LOCAL",9/30/09,77994,12/31/99,1225,"LB",1225
"DR09-03897","DR09-03897-1","SHFP2009","FROZEN - WEIGH",2796,"Food Lion # 535","A2H LOCAL",9/30/09,78025,12/31/99,1230,"LB",1230
"DR09-03876","DR09-03876-1","SHBR2009","BAKED - WEIGH",1297,"Food Lion 1454","A2H LOCAL",9/30/09,77974,12/31/99,1250,"LB",1250
"DR09-03877","DR09-03877-1","SHBR2009","BAKED - WEIGH",1303,"Food Lion 1486","A2H LOCAL",9/30/09,77975,12/31/99,1250,"LB",1250
"DR09-03879","DR09-03879-1","SHBR2009","BAKED - WEIGH",1374,"Food Lion 649","A2H LOCAL",9/30/09,77977,12/31/99,1250,"LB",1250
"DR09-03882","DR09-03882-1","SHBR2009","BAKED - WEIGH",1393,"Food Lion 816","A2H LOCAL",9/30/09,77981,12/31/99,1250,"LB",1250
"DR09-03883","DR09-03883-1","SHBR2009","BAKED - WEIGH",1407,"Food Lion 996","A2H LOCAL",9/30/09,77982,12/31/99,1250,"LB",1250
"DR09-03922","DR09-03922-1","SHBR2009","BAKED - WEIGH",2895,"Food Lion # 2536","A2H LOCAL",9/30/09,78096,12/31/99,1265,"LB",1265
"DR09-03899","DR09-03899-1","SHFP2009","FROZEN - WEIGH",2817,"Food Lion  # 857","A2H LOCAL",9/30/09,78029,12/31/99,1269,"LB",1269
"DS09-01513","DS09-01513-1","SHFP2009","FROZEN - WEIGH",2835,"Food Lion # 1213","A2H LOCAL",9/30/09,78319,12/31/99,1269,"LB",1269
"DR09-03891","DR09-03891-1","SHFP2009","FROZEN - WEIGH",2773,"Food Lion # 237","A2H LOCAL",9/30/09,78004,12/31/99,1275,"LB",1275
"DR09-03899","DR09-03899-1","SHBR2009","BAKED - WEIGH",2817,"Food Lion  # 857","A2H LOCAL",9/30/09,78028,12/31/99,1277,"LB",1277
"DG09-00996","DG09-00996-1","SHBR2009","BAKED - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",9/30/09,77931,12/31/99,1281,"LB",1281
"DG09-00956","DG09-00956-1","DY09001","DAIRY ASSORTED - WEIGH",1586,"LOCAL FOOD DRIVES","LOCAL",9/30/09,77506,12/31/99,1318,"LB",1318
"DR09-03918","DR09-03918-1","SHFP2009","FROZEN - WEIGH",2886,"Food Lion # 2101","A2H LOCAL",9/30/09,78083,12/31/99,1325,"LB",1325
"DW09-00601","DW09-00601-1","SHFP2009","FROZEN - WEIGH",2899,"Food Lion # 2553","A2H LOCAL",9/30/09,77616,12/31/99,1334,"LB",1334
"DR09-03903","DR09-03903-1","SHFP2009","FROZEN - WEIGH",2833,"Food Lion # 1194","A2H LOCAL",9/30/09,78041,12/31/99,1340,"LB",1340
"DS09-01511","DS09-01511-1","SHPR2009","PRODUCE - WEIGH",2815,"Food Lion # 834","A2H LOCAL",9/30/09,78314,12/31/99,1360,"LB",1360
"DG09-00978","DG09-00978-1","SHFP2009","FROZEN - WEIGH",2864,"Food Lion # 1494","A2H LOCAL",9/30/09,77883,12/31/99,1365,"LB",1365
"DR09-03931","DR09-03931-1","SHBR2009","BAKED - WEIGH",3005,"Food Lion Store #2591","A2H LOCAL",9/30/09,78121,12/31/99,1367,"LB",1367
"DW09-00581","DW09-00581-1","SHBR2009","BAKED - WEIGH",2820,"Food Lion # 910","A2H LOCAL",9/30/09,77544,12/31/99,1370,"LB",1370
"DG09-00988","DG09-00988-1","SHBR2009","BAKED - WEIGH",2850,"Food Lion # 1373","A2H LOCAL",9/30/09,77912,12/31/99,1385,"LB",1385
"DR09-03894","DR09-03894-1","SHFP2009","FROZEN - WEIGH",2787,"Food Lion # 429","A2H LOCAL",9/30/09,78015,12/31/99,1387,"LB",1387
"DR09-03886","DR09-03886-1","SHBR2009","BAKED - WEIGH",2753,"Food Lion # 59","A2H LOCAL",9/30/09,77989,12/31/99,1410,"LB",1410
"DR09-03886","DR09-03886-1","SHFP2009","FROZEN - WEIGH",2753,"Food Lion # 59","A2H LOCAL",9/30/09,77990,12/31/99,1425,"LB",1425
"DR09-03875","DR09-03875-1","SHBR2009","BAKED - WEIGH",1291,"Food Lion 1358","A2H LOCAL",9/30/09,77971,12/31/99,1433,"LB",1433
"DW09-00580","DW09-00580-1","SHFP2009","FROZEN - WEIGH",2819,"Food Lion # 909","A2H LOCAL",9/30/09,77541,12/31/99,1433,"LB",1433
"DG09-00995","DG09-00995-1","SHBR2009","BAKED - WEIGH",2839,"Food Lion # 1275","A2H LOCAL",9/30/09,77927,12/31/99,1440,"LB",1440
"DG09-00986","DG09-00986-1","SHBR2009","BAKED - WEIGH",2913,"Food Lion # 2635","A2H LOCAL",9/30/09,77905,12/31/99,1479,"LB",1479
"DG09-00991","DG09-00991-1","SHFP2009","FROZEN - WEIGH",2778,"Food Lion # 279","A2H LOCAL",9/30/09,77920,12/31/99,1480,"LB",1480
"DW09-00598","DW09-00598-1","SHBR2009","BAKED - WEIGH",2890,"Food Lion # 2116","A2H LOCAL",9/30/09,77605,12/31/99,1486,"LB",1486
"DW09-00603","DW09-00603-1","SHBR2009","BAKED - WEIGH",2925,"Food Lion Store #351","A2H LOCAL",9/30/09,77623,12/31/99,1490,"LB",1490
"DR09-03908","DR09-03908-1","SHFP2009","FROZEN - WEIGH",2853,"Food Lion # 1390","A2H LOCAL",9/30/09,78056,12/31/99,1501,"LB",1501
"DG09-00985","DG09-00985-1","SHBR2009","BAKED - WEIGH",2840,"Food Lion # 1282","A2H LOCAL",9/30/09,77901,12/31/99,1507,"LB",1507
"DW09-00588","DW09-00588-1","SHFP2009","FROZEN - WEIGH",2852,"Food Lion # 1388","A2H LOCAL",9/30/09,77573,12/31/99,1513,"LB",1513
"DR09-03920","DR09-03920-1","SHPR2009","PRODUCE - WEIGH",2891,"Food Lion # 2504","A2H LOCAL",9/30/09,78091,12/31/99,1526,"LB",1526
"DG09-00980","DG09-00980-1","SHFP2009","FROZEN - WEIGH",2850,"Food Lion # 1373","A2H LOCAL",9/30/09,77888,12/31/99,1548,"LB",1548
"DR09-03887","DR09-03887-1","SHBR2009","BAKED - WEIGH",2756,"Food Lion # 78","A2H LOCAL",9/30/09,77991,12/31/99,1550,"LB",1550
"DR09-03881","DR09-03881-1","SHBR2009","BAKED - WEIGH",1380,"Food Lion 723","A2H LOCAL",9/30/09,77979,12/31/99,1562,"LB",1562
"DG09-00977","DG09-00977-1","SHBR2009","BAKED - WEIGH",2892,"Food Lion # 2511","A2H LOCAL",9/30/09,77879,12/31/99,1564,"LB",1564
"DR09-03896","DR09-03896-1","SHPR2009","PRODUCE - WEIGH",2792,"Food Lion # 506","A2H LOCAL",9/30/09,78023,12/31/99,1580,"LB",1580
"DR09-03931","DR09-03931-1","SHFP2009","FROZEN - WEIGH",3005,"Food Lion Store #2591","A2H LOCAL",9/30/09,78122,12/31/99,1595,"LB",1595
"DS09-01511","DS09-01511-1","SHBR2009","BAKED - WEIGH",2815,"Food Lion # 834","A2H LOCAL",9/30/09,78312,12/31/99,1613,"LB",1613
"DR09-03901","DR09-03901-1","SHPR2009","PRODUCE - WEIGH",2825,"Food Lion # 999","A2H LOCAL",9/30/09,78035,12/31/99,1615,"LB",1615
"DR09-03909","DR09-03909-1","SHFP2009","FROZEN - WEIGH",2855,"Food Lion # 1394","A2H LOCAL",9/30/09,78059,12/31/99,1636,"LB",1636
"DR09-03892","DR09-03892-1","SHFP2009","FROZEN - WEIGH",2775,"Food Lion # 261","A2H LOCAL",9/30/09,78008,12/31/99,1645,"LB",1645
"DW09-00590","DW09-00590-1","SHFP2009","FROZEN - WEIGH",2857,"Food Lion # 1404","A2H LOCAL",9/30/09,77580,12/31/99,1650,"LB",1650
"DW09-00587","DW09-00587-1","SHBR2009","BAKED - WEIGH",2843,"Food Lion # 1327","A2H LOCAL",9/30/09,77568,12/31/99,1651,"LB",1651
"DR09-03900","DR09-03900-1","SHBR2009","BAKED - WEIGH",2822,"Food Lion # 936","A2H LOCAL",9/30/09,78032,12/31/99,1659,"LB",1659
"DW09-00595","DW09-00595-1","SHBR2009","BAKED - WEIGH",2878,"Food Lion # 1655","A2H LOCAL",9/30/09,77596,12/31/99,1662,"LB",1662
"DR09-03924","DR09-03924-1","SHBR2009","BAKED - WEIGH",2903,"Food Lion # 2574","A2H LOCAL",9/30/09,78101,12/31/99,1670,"LB",1670
"DW09-00599","DW09-00599-1","SHPR2009","PRODUCE - WEIGH",2893,"Food Lion # 2526","A2H LOCAL",9/30/09,77611,12/31/99,1674,"LB",1674
"DW09-00600","DW09-00600-1","SHFP2009","FROZEN - WEIGH",2897,"Food Lion # 2546","A2H LOCAL",9/30/09,77613,12/31/99,1676,"LB",1676
"DR09-03911","DR09-03911-1","SHFP2009","FROZEN - WEIGH",2866,"Food Lion # 1501","A2H LOCAL",9/30/09,78064,12/31/99,1679,"LB",1679
"DW09-00596","DW09-00596-1","SHFP2009","FROZEN - WEIGH",2885,"Food Lion # 1694","A2H LOCAL",9/30/09,77600,12/31/99,1684,"LB",1684
"DW09-00588","DW09-00588-1","SHPR2009","PRODUCE - WEIGH",2852,"Food Lion # 1388","A2H LOCAL",9/30/09,77574,12/31/99,1685,"LB",1685
"DW09-00584","DW09-00584-1","SHPR2009","PRODUCE - WEIGH",2828,"Food Lion # 1073","A2H LOCAL",9/30/09,77560,12/31/99,1687,"LB",1687
"DR09-03915","DR09-03915-1","SHBR2009","BAKED - WEIGH",2877,"Food Lion # 1654","A2H LOCAL",9/30/09,78071,12/31/99,1707,"LB",1707
"DS09-01508","DS09-01508-1","SHFP2009","FROZEN - WEIGH",1371,"Food Lion 612","A2H LOCAL",9/30/09,78304,12/31/99,1713,"LB",1713
"DR09-03907","DR09-03907-1","SHPR2009","PRODUCE - WEIGH",2851,"Food Lion # 1374","A2H LOCAL",9/30/09,78054,12/31/99,1724,"LB",1724
"DR09-03888","DR09-03888-1","SHPR2009","PRODUCE - WEIGH",2757,"Food Lion # 99","A2H LOCAL",9/30/09,77996,12/31/99,1740,"LB",1740
"DR09-03890","DR09-03890-1","SHBR2009","BAKED - WEIGH",2769,"Food Lion # 214","A2H LOCAL",9/30/09,78000,12/31/99,1741,"LB",1741
"DS09-01512","DS09-01512-1","SHBR2009","BAKED - WEIGH",2821,"Food Lion # 930","A2H LOCAL",9/30/09,78315,12/31/99,1742,"LB",1742
"DR09-03889","DR09-03889-1","SHFP2009","FROZEN - WEIGH",2764,"Food Lion # 149","A2H LOCAL",9/30/09,77998,12/31/99,1746,"LB",1746
"DR09-03906","DR09-03906-1","SHBR2009","BAKED - WEIGH",2848,"Food Lion # 1364","A2H LOCAL",9/30/09,78050,12/31/99,1761,"LB",1761
"DW09-00582","DW09-00582-1","SHBR2009","BAKED - WEIGH",2826,"Food Lion # 1041","A2H LOCAL",9/30/09,77551,12/31/99,1770,"LB",1770
"DS09-01510","DS09-01510-1","SHFP2009","FROZEN - WEIGH",2804,"Food Lion # 690","A2H LOCAL",9/30/09,78310,12/31/99,1770,"LB",1770
"DR09-03894","DR09-03894-1","SHPR2009","PRODUCE - WEIGH",2787,"Food Lion # 429","A2H LOCAL",9/30/09,78016,12/31/99,1773,"LB",1773
"DW09-00583","DW09-00583-1","SHPR2009","PRODUCE - WEIGH",2858,"Food Lion # 1406","A2H LOCAL",9/30/09,77557,12/31/99,1775,"LB",1775
"DG09-00995","DG09-00995-1","SHPR2009","PRODUCE - WEIGH",2839,"Food Lion # 1275","A2H LOCAL",9/30/09,77929,12/31/99,1820,"LB",1820
"DW09-00590","DW09-00590-1","SHPR2009","PRODUCE - WEIGH",2857,"Food Lion # 1404","A2H LOCAL",9/30/09,77581,12/31/99,1825,"LB",1825
"DR09-03904","DR09-03904-1","SHPR2009","PRODUCE - WEIGH",2845,"Food Lion # 1338","A2H LOCAL",9/30/09,78045,12/31/99,1829,"LB",1829
"DG09-00992","DG09-00992-1","SHFP2009","FROZEN - WEIGH",2844,"Food Lion # 1332","A2H LOCAL",9/30/09,77923,12/31/99,1835,"LB",1835
"DR09-03926","DR09-03926-1","SHPR2009","PRODUCE - WEIGH",2908,"Food Lion # 2595","A2H LOCAL",9/30/09,78107,12/31/99,1836,"LB",1836
"DR09-03927","DR09-03927-1","SHPR2009","PRODUCE - WEIGH",2910,"Food Lion # 2607","A2H LOCAL",9/30/09,78110,12/31/99,1837,"LB",1837
"DR09-03924","DR09-03924-1","SHPR2009","PRODUCE - WEIGH",2903,"Food Lion # 2574","A2H LOCAL",9/30/09,78103,12/31/99,1850,"LB",1850
"DR09-04042","DR09-04042-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",1789,"Sam's Club#8","A2H LOCAL",9/30/09,78389,12/31/99,1860,"LB",1860
"DW09-00586","DW09-00586-1","SHBR2009","BAKED - WEIGH",2834,"Food Lion # 1212","A2H LOCAL",9/30/09,77564,12/31/99,1875,"LB",1875
"DR09-03927","DR09-03927-1","SHBR2009","BAKED - WEIGH",2910,"Food Lion # 2607","A2H LOCAL",9/30/09,78108,12/31/99,1876,"LB",1876
"DS09-01508","DS09-01508-1","SHBR2009","BAKED - WEIGH",1371,"Food Lion 612","A2H LOCAL",9/30/09,78303,12/31/99,1891,"LB",1891
"DW09-00586","DW09-00586-1","SHFP2009","FROZEN - WEIGH",2834,"Food Lion # 1212","A2H LOCAL",9/30/09,77565,12/31/99,1892,"LB",1892
"DW09-00602","DW09-00602-1","SHRF2009","REFRIGERATED/DELI - WEIGH",2924,"Food Lion Store #281","A2H LOCAL",9/30/09,77622,12/31/99,1909,"LB",1909
"DW09-00579","DW09-00579-1","SHBR2009","BAKED - WEIGH",2832,"Food Lion # 1193","A2H LOCAL",9/30/09,77538,12/31/99,1935,"LB",1935
"DG09-00987","DG09-00987-1","SHFP2009","FROZEN - WEIGH",2841,"Food Lion # 1291","A2H LOCAL",9/30/09,77910,12/31/99,1940,"LB",1940
"DR09-03875","DR09-03875-1","SHPR2009","PRODUCE - WEIGH",1291,"Food Lion 1358","A2H LOCAL",9/30/09,77973,12/31/99,1941,"LB",1941
"DW09-00589","DW09-00589-1","SHBR2009","BAKED - WEIGH",2854,"Food Lion # 1392","A2H LOCAL",9/30/09,77576,12/31/99,1970,"LB",1970
"DS09-01512","DS09-01512-1","SHPR2009","PRODUCE - WEIGH",2821,"Food Lion # 930","A2H LOCAL",9/30/09,78317,12/31/99,1973,"LB",1973
"DW09-00593","DW09-00593-1","SHPR2009","PRODUCE - WEIGH",2873,"Food Lion # 1606","A2H LOCAL",9/30/09,77592,12/31/99,1985,"LB",1985
"DR09-03904","DR09-03904-1","SHBR2009","BAKED - WEIGH",2845,"Food Lion # 1338","A2H LOCAL",9/30/09,78043,12/31/99,1989,"LB",1989
"DW09-00585","DW09-00585-1","SHFP2009","FROZEN - WEIGH",2832,"Food Lion # 1193","A2H LOCAL",9/30/09,77562,12/31/99,1991,"LB",1991
