"UNC Product Type / Item Receiving Statistics",,,3/22/10,,,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,,,,,
"UNC Product Type Total",810687,,,,,,,,,,,
,,,,,,,,,,,,
"Report Total",28407905,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Order No. ","Document No. ","Item No.","Description","Source No.","Donor","UNC Product Source Code","Posting Date","Lot No.","Expiration Date","Quantity","Unit of Measure","Gross Weight"
"DR09-02549","DR09-02549-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2401,"Food Lion Store #1685","A2H LOCAL",7/1/09,72724,12/31/99,520,"LB",520
"DD09-00917","DD09-00917-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1307,"Food Lion 150","A2H LOCAL",7/1/09,72762,12/31/99,528,"LB",528
"DG09-00573","DG09-00573-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2954,"Bimbo Bakeries","LOCAL",7/1/09,72587,12/31/99,567,"LB",567
"DR09-02558","DR09-02558-1","SFCE001","SUMMER FEEDING PRGM. KIXS 60 CT",3049,"East Side Entrees","AFF PURCH",7/1/09,72786,12/12/09,18,"CS",612
"DR09-02558","DR09-02558-1","SFCE002","SUMMER FEEDING PRGM. TRIXS 60 CT",3049,"East Side Entrees","AFF PURCH",7/1/09,72787,12/26/09,18,"CS",612
"DR09-02558","DR09-02558-1","SFCE003","SUMMER FEEDING PRGM. CHEERIOS 60CT",3049,"East Side Entrees","AFF PURCH",7/1/09,72788,12/12/09,18,"CS",612
"DR09-02558","DR09-02558-1","SFCE004","SUMMER FEEDING PRGM. APL.CINN. CHEERIOS 60 CT",3049,"East Side Entrees","AFF PURCH",7/1/09,72789,11/12/09,18,"CS",612
"DR09-02558","DR09-02558-1","SFCE005","SUMMER FEEDING PRGM. CINN. TOAST CRUNCH 60 CT",3049,"East Side Entrees","AFF PURCH",7/1/09,72790,11/23/09,18,"CS",612
"DR09-02558","DR09-02558-1","SFCE006","SUMMER FEEDING PRGM. FROSTED FLAKES 60 CT",3049,"East Side Entrees","AFF PURCH",7/1/09,72791,12/26/09,18,"CS",612
"DR09-02548","DR09-02548-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1313,"Food Lion 1669","A2H LOCAL",7/1/09,72723,12/31/99,735,"LB",735
"DR09-02554","DR09-02554-1","BR09002","TORTILLAS - WEIGH",2115,"Tortilla San Antonio, Inc.","LOCAL",7/1/09,72891,12/31/99,888,"LB",888
"DR09-02551","DR09-02551-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2851,"Food Lion # 1374","A2H LOCAL",7/1/09,72726,12/31/99,925,"LB",925
"DD09-00936","DD09-00936-1","GR001D","Long Grain Rice & Pinto Beans",1586,"LOCAL FOOD DRIVES","LOCAL",7/1/09,72867,12/31/99,952,"LB",952
"DR09-02559","DR09-02559-1","SFFP008","SUMMER FEEDING PRGM. TURKEY & CHEESE 30 CT",3049,"East Side Entrees","AFF PURCH",7/1/09,72792,1/24/10,68,"CS",1700
"DR09-02559","DR09-02559-1","SFFP009","SUMMER FEEDING PRGM. TURKEY HAM & CHEESE 30 CT",3049,"East Side Entrees","AFF PURCH",7/1/09,72793,4/17/10,68,"CS",1700
"DR09-02555","DR09-02555-1","FP09002","FROZEN PRODUCT ASST. COMP. - WEIGH",1844,"SH FOOD BANK OF SOUTHEAST NC","FOODBANK",7/1/09,72749,12/31/99,2140,"LB",2140
"DR09-02559","DR09-02559-1","SFFP010","SUMMER FEEDING PRGM. TURKEY BOL. & CHEESE 30 CT",3049,"East Side Entrees","AFF PURCH",7/1/09,72794,4/24/10,102,"CS",2550
"DR09-02791","DR09-02791-1","SFFP006","SUMMER FEEDING PRGM TOASTED CHEESE 48 CT",3049,"East Side Entrees","AFF PURCH",7/1/09,73598,12/28/09,68,"CS",2788
"DR09-02791","DR09-02791-1","SFFP007","SUMMER FEEDING PRGM. COLD CUT COMBO 48 CT",3049,"East Side Entrees","AFF PURCH",7/1/09,73599,1/1/10,102,"CS",4182
"DR09-02568","DR09-02568-1","FP09002","FROZEN PRODUCT ASST. COMP. - WEIGH",1844,"SH FOOD BANK OF SOUTHEAST NC","FOODBANK",7/1/09,72895,12/31/99,6600,"LB",6600
"DR09-02565","DR09-02565-1","PR09006","WHITE POTATOES - WEIGH",1656,"NASH PRODUCE","LOCAL",7/1/09,72859,12/31/99,11216,"LB",11216
